,Country/Territory,UN_Region,IMF_Estimate,IMF_Year,WorldBank_Estimate,WorldBank_Year,UN_Estimate,UN_Year
1,Monaco,Europe,0,0,234316,2021,234317,2021
2,Liechtenstein,Europe,0,0,157755,2020,169260,2021
3,Luxembourg,Europe,132372,2023,133590,2021,133745,2021
4,Ireland,Europe,114581,2023,100172,2021,101109,2021
5,Bermuda,Americas,0,0,114090,2021,112653,2021
6,Norway,Europe,101103,2023,89154,2021,89242,2021
7,Switzerland,Europe,98767,2023,91992,2021,93525,2021
8,Singapore,Asia,91100,2023,72794,2021,66822,2021
9,Isle of Man,Europe,0,0,87158,2019,0,0
10,Cayman Islands,Americas,0,0,86569,2021,85250,2021
11,Qatar,Asia,83891,2023,66838,2021,66799,2021
12,United States,Americas,80034,2023,70249,2021,69185,2021
13,Iceland,Europe,75180,2023,68728,2021,69133,2021
14,Channel Islands,Europe,0,0,75153,2007,0,0
15,Faroe Islands,Europe,0,0,69010,2021,0,0
16,Denmark,Europe,68827,2023,68008,2021,68037,2021
17,Australia,Oceania,64964,2023,60443,2021,66916,2021
18,Netherlands,Europe,61098,2023,57768,2021,57871,2021
19,Greenland,Americas,0,0,54571,2020,58185,2021
20,Austria,Europe,56802,2023,53638,2021,53840,2021
21,Israel,Asia,55535,2023,52171,2021,54111,2021
22,Sweden,Europe,55395,2023,61029,2021,60730,2021
23,Finland,Europe,54351,2023,53655,2021,53703,2021
24,Belgium,Europe,53377,2023,51247,2021,51166,2021
25,San Marino,Europe,52949,2023,45320,2020,50425,2021
26,Canada,Americas,52722,2023,51988,2021,52112,2021
27,Hong Kong,Asia,52429,2023,49801,2021,49259,2021
28,Germany,Europe,51383,2023,51204,2021,51073,2021
29,Macau,Asia,50571,2023,43874,2021,43555,2021
30,United Arab Emirates,Asia,49451,2023,44316,2021,43295,2021
31,British Virgin Islands,Americas,0,0,0,0,49444,2021
32,New Zealand,Oceania,48826,2023,48781,2021,48824,2021
33,United Kingdom,Europe,46371,2023,46510,2021,46542,2021
34,France,Europe,44408,2023,43659,2021,44229,2021
35,Andorra,Europe,44387,2023,42137,2021,42066,2021
36,European Union[n 1],Europe,39940,2023,38411,2021,31875,2021
37,US Virgin Islands,Americas,0,0,39552,2020,0,0
38,Puerto Rico,Americas,38567,2023,32641,2021,32716,2021
39,New Caledonia,Oceania,0,0,37160,2021,34994,2021
40,Malta,Europe,36989,2023,33487,2021,33642,2021
41,Italy,Europe,36812,2023,35658,2021,35579,2021
42,Guam,Oceania,0,0,35905,2021,0,0
43,Bahamas,Americas,35458,2023,27478,2021,27478,2021
44,Japan,Asia,35385,2023,39313,2021,39650,2021
45,Brunei,Asia,35103,2023,31449,2021,31449,2021
46,Taiwan,Asia,33907,2023,0,0,0,0
47,Cyprus,Asia,33807,2023,31552,2021,32281,2021
48,Kuwait,Asia,33646,2023,24300,2020,32150,2021
49,South Korea,Asia,33393,2023,34998,2021,34940,2021
50,Aruba,Americas,33094,2023,29342,2021,29342,2021
51,Slovenia,Europe,32214,2023,29291,2021,29135,2021
52,Czech Republic,Europe,31368,2023,26821,2021,26809,2021
53,Spain,Europe,31223,2023,30104,2021,30058,2021
54,Estonia,Europe,31209,2023,27944,2021,27991,2021
55,Saudi Arabia,Asia,29922,2023,23186,2021,23186,2021
56,Bahrain,Asia,28385,2023,26563,2021,26563,2021
57,Lithuania,Europe,28094,2023,23723,2021,23844,2021
58,Sint Maarten (Dutch part),Americas,0,0,28988,2018,26199,2021
59,Portugal,Europe,26012,2023,24568,2021,24651,2021
60,Latvia,Europe,25136,2023,21148,2021,21267,2021
61,Northern Mariana Islands,Oceania,0,0,23707,2019,0,0
62,Slovakia,Europe,23457,2023,21392,2021,21390,2021
63,Greece,Europe,22595,2023,20193,2021,20571,2021
64,Oman,Asia,21960,2023,19510,2021,19509,2021
65,Saint Martin (French part),Americas,0,0,21921,2014,0,0
66,Uruguay,Americas,21677,2023,17313,2021,17313,2021
67,Barbados,Americas,21085,2023,17226,2021,17225,2021
68,Turks and Caicos Islands,Americas,0,0,20909,2021,20909,2021
69,Guyana,Americas,20539,2023,9999,2021,9999,2021
70,Croatia,Europe,20537,2023,17685,2021,16983,2021
71,French Polynesia,Oceania,0,0,19915,2021,19915,2021
72,Poland,Europe,19912,2023,18000,2021,17736,2021
73,Trinidad and Tobago,Americas,19858,2023,16033,2021,16033,2021
74,Seychelles,Africa,19536,2023,14653,2021,12085,2021
75,Hungary,Europe,19385,2023,18728,2021,18728,2021
76,Cook Islands,Oceania,0,0,0,0,19264,2021
77,Anguilla,Americas,0,0,0,0,19216,2021
78,Romania,Europe,18530,2023,14858,2021,14698,2021
79,Antigua and Barbuda,Americas,18244,2023,15781,2021,15246,2021
80,Saint Kitts and Nevis,Americas,17856,2023,18083,2021,18083,2021
81,Chile,Americas,17827,2023,16265,2021,16265,2021
82,Curaçao,Americas,0,0,17718,2021,14183,2021
83,Maldives,Asia,17626,2023,10366,2021,10366,2021
84,Panama,Americas,17350,2023,14618,2021,14618,2021
85,Montserrat,Americas,0,0,0,0,16199,2021
86,American Samoa,Oceania,0,0,15743,2021,0,0
87,Bulgaria,Europe,14893,2023,12222,2021,12207,2021
88,Palau,Oceania,14804,2023,12084,2021,12084,2021
89,Costa Rica,Americas,14733,2023,12472,2021,12472,2021
90,Russia,Europe,14403,2023,12195,2021,12259,2021
91,China,Asia,13721,2023,12556,2021,12437,2021
92,Argentina,Americas,13709,2023,10636,2021,10761,2021
93,World,World,13440,2023,12235,2021,12230,2021
94,Malaysia,Asia,13382,2023,11109,2021,11101,2021
95,Turkmenistan,Asia,13065,2023,7345,2019,8508,2021
96,Mexico,Americas,12673,2023,10046,2021,10046,2021
97,Kazakhstan,Asia,12306,2023,10374,2021,10055,2021
98,Saint Lucia,Americas,12264,2023,9414,2021,9824,2021
99,Turkey,Asia,11931,2023,9661,2021,9661,2021
100,Nauru,Oceania,11825,2023,10648,2021,12390,2021
101,Mauritius,Africa,11548,2023,9106,2021,8873,2021
102,Dominican Republic,Americas,11308,2023,8477,2021,8477,2021
103,Montenegro,Europe,11289,2023,9466,2021,9252,2021
104,Cuba,Americas,0,0,9500,2020,11255,2021
105,Grenada,Americas,11137,2023,9011,2021,8950,2021
106,Serbia,Europe,10849,2023,9230,2021,8643,2021
107,Equatorial Guinea,Africa,9777,2023,7507,2021,7605,2021
108,Brazil,Americas,9673,2023,7507,2021,7507,2021
109,Saint Vincent and the Grenadines,Americas,9359,2023,8666,2021,8440,2021
110,Gabon,Africa,9294,2023,8635,2021,7911,2021
111,Dominica,Americas,9144,2023,7653,2021,7571,2021
